epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,13251.5,1.08608,5.6867,1.10721,0.53121,0.42185,0.4164,0.3263,1.1944,9.95633,1.08734,0.0078418,0.0078418,0.0078418
111,13371.1,1.07822,5.70252,1.10549,0.48156,0.45704,0.41503,0.32487,1.19424,9.95844,1.08819,0.007822,0.007822,0.007822
112,13489.8,1.08771,5.69173,1.1106,0.48354,0.4564,0.41588,0.32392,1.19373,10.0266,1.08871,0.0078022,0.0078022,0.0078022
113,13608.4,1.08041,5.61452,1.10563,0.50707,0.4394,0.41572,0.3242,1.19312,10.0366,1.08661,0.0077824,0.0077824,0.0077824
114,13729.3,1.09207,5.65544,1.10888,0.50613,0.44803,0.41474,0.32239,1.19257,10.0346,1.08584,0.0077626,0.0077626,0.0077626
115,13849.4,1.08789,5.67934,1.1094,0.49836,0.45612,0.41567,0.32343,1.189,10.0204,1.08347,0.0077428,0.0077428,0.0077428
116,13967.8,1.07703,5.61518,1.10174,0.49227,0.45336,0.41208,0.32109,1.18498,10.0371,1.08064,0.007723,0.007723,0.007723
117,14086.3,1.08278,5.65854,1.10602,0.48778,0.44803,0.41021,0.31998,1.18446,10.0671,1.08119,0.0077032,0.0077032,0.0077032
118,14204.8,1.07334,5.59886,1.10173,0.47292,0.46176,0.41058,0.32032,1.18253,10.0935,1.07913,0.0076834,0.0076834,0.0076834
119,14323.2,1.06278,5.57804,1.10347,0.47337,0.45291,0.40972,0.31945,1.18156,10.1164,1.08,0.0076636,0.0076636,0.0076636
120,14443.2,1.0832,5.57722,1.10724,0.45914,0.46199,0.40829,0.31967,1.18363,10.1075,1.0811,0.0076438,0.0076438,0.0076438
121,14563.5,1.07093,5.53841,1.10532,0.45982,0.4565,0.40683,0.31924,1.18257,10.1465,1.0803,0.007624,0.007624,0.007624
122,14682.5,1.07292,5.56628,1.10072,0.46796,0.46165,0.40666,0.32005,1.18141,10.1775,1.08077,0.0076042,0.0076042,0.0076042
123,14802.8,1.07116,5.5074,1.09999,0.47232,0.46347,0.40641,0.31918,1.17948,10.1999,1.08083,0.0075844,0.0075844,0.0075844
124,14923.2,1.06941,5.55435,1.101,0.4715,0.46286,0.4067,0.31923,1.17707,10.2249,1.08013,0.0075646,0.0075646,0.0075646
125,15042.3,1.07265,5.52497,1.10082,0.47104,0.45502,0.40736,0.31923,1.17861,10.2269,1.08148,0.0075448,0.0075448,0.0075448
126,15161.6,1.07017,5.53247,1.09993,0.47617,0.45118,0.40745,0.31919,1.17834,10.2243,1.0819,0.007525,0.007525,0.007525
127,15281.2,1.06821,5.4739,1.09765,0.47983,0.44179,0.40592,0.31798,1.17663,10.2411,1.08099,0.0075052,0.0075052,0.0075052
128,15399.8,1.0651,5.43025,1.09393,0.46784,0.45356,0.40547,0.31857,1.17595,10.2444,1.0812,0.0074854,0.0074854,0.0074854
129,15519.8,1.06969,5.53478,1.09869,0.47202,0.4489,0.40523,0.31773,1.17339,10.2383,1.07995,0.0074656,0.0074656,0.0074656
130,15638.3,1.06715,5.43912,1.09967,0.47337,0.44887,0.40396,0.31765,1.17229,10.2461,1.07947,0.0074458,0.0074458,0.0074458
131,15757.8,1.06184,5.40171,1.09387,0.46919,0.45166,0.40426,0.3178,1.17233,10.2512,1.07976,0.007426,0.007426,0.007426
132,15876.4,1.06441,5.47088,1.09988,0.47234,0.44606,0.40477,0.31877,1.17,10.2424,1.07851,0.0074062,0.0074062,0.0074062
133,15997.2,1.07288,5.45938,1.10164,0.46974,0.44781,0.40616,0.3195,1.16976,10.2355,1.07899,0.0073864,0.0073864,0.0073864
134,16117.9,1.05929,5.37662,1.09718,0.47774,0.44391,0.40605,0.31921,1.16754,10.2303,1.07769,0.0073666,0.0073666,0.0073666
135,16237,1.06116,5.40689,1.09704,0.47058,0.4527,0.40711,0.31949,1.16669,10.2507,1.07669,0.0073468,0.0073468,0.0073468
136,16355.4,1.07036,5.41051,1.09529,0.48257,0.44612,0.40776,0.32032,1.16555,10.2507,1.07581,0.007327,0.007327,0.007327
137,16475.2,1.06302,5.39531,1.09708,0.48418,0.44568,0.40788,0.31983,1.1638,10.2556,1.07446,0.0073072,0.0073072,0.0073072
138,16594.4,1.05384,5.2947,1.09012,0.48606,0.44015,0.40674,0.31895,1.16335,10.2617,1.07375,0.0072874,0.0072874,0.0072874
139,16714.2,1.06223,5.40284,1.09709,0.48665,0.43818,0.40751,0.31956,1.16186,10.268,1.07267,0.0072676,0.0072676,0.0072676
140,16836.2,1.06699,5.39874,1.09624,0.47519,0.45068,0.4076,0.31984,1.16096,10.2671,1.07213,0.0072478,0.0072478,0.0072478
141,16956,1.05965,5.33284,1.09434,0.46148,0.46306,0.40718,0.3196,1.16037,10.2539,1.07209,0.007228,0.007228,0.007228
142,17075.7,1.06526,5.3837,1.09676,0.46178,0.46554,0.40846,0.32021,1.15917,10.2529,1.07146,0.0072082,0.0072082,0.0072082
143,17199.4,1.05401,5.4056,1.09594,0.4611,0.4667,0.40904,0.32027,1.15837,10.2454,1.07093,0.0071884,0.0071884,0.0071884
144,17320.2,1.04447,5.31173,1.09362,0.46126,0.46648,0.41029,0.32108,1.15804,10.2433,1.07083,0.0071686,0.0071686,0.0071686
145,17440.8,1.05608,5.32341,1.0916,0.48913,0.44409,0.40958,0.32108,1.15752,10.2418,1.07096,0.0071488,0.0071488,0.0071488
146,17562.6,1.05309,5.36689,1.09851,0.49286,0.44314,0.41012,0.32159,1.15723,10.2545,1.07101,0.007129,0.007129,0.007129
147,17683.9,1.05196,5.3937,1.09558,0.50193,0.4388,0.40996,0.32149,1.15628,10.257,1.07072,0.0071092,0.0071092,0.0071092
148,17803.8,1.05993,5.29679,1.091,0.50105,0.43814,0.40875,0.3213,1.15417,10.2532,1.06948,0.0070894,0.0070894,0.0070894
149,17922.3,1.04371,5.19727,1.0878,0.49714,0.43921,0.40926,0.32139,1.15271,10.2644,1.06827,0.0070696,0.0070696,0.0070696
150,18041.6,1.04804,5.31723,1.09157,0.49729,0.43986,0.40878,0.32095,1.15283,10.2705,1.06853,0.0070498,0.0070498,0.0070498
151,18160.8,1.05081,5.33877,1.09515,0.49972,0.44382,0.40884,0.32104,1.15306,10.2611,1.06879,0.00703,0.00703,0.00703
152,18279.1,1.04166,5.26547,1.08878,0.50082,0.44604,0.40922,0.32068,1.15199,10.2591,1.06799,0.0070102,0.0070102,0.0070102
153,18399.9,1.04577,5.23752,1.08696,0.50151,0.44634,0.40965,0.3215,1.15145,10.2548,1.06763,0.0069904,0.0069904,0.0069904
154,18519.8,1.04864,5.26092,1.0889,0.49866,0.44649,0.40924,0.32191,1.1511,10.2631,1.06825,0.0069706,0.0069706,0.0069706
155,18639.8,1.05526,5.27632,1.08949,0.5034,0.4456,0.40932,0.32163,1.15186,10.2666,1.06882,0.0069508,0.0069508,0.0069508
156,18758.9,1.05011,5.28421,1.08832,0.50542,0.44208,0.40937,0.32215,1.15218,10.2667,1.06917,0.006931,0.006931,0.006931
157,18878.9,1.04163,5.22817,1.08769,0.50507,0.4429,0.4089,0.32218,1.15131,10.2672,1.06886,0.0069112,0.0069112,0.0069112
158,18997.5,1.0427,5.18827,1.08397,0.50704,0.44232,0.40889,0.32214,1.15037,10.2676,1.06826,0.0068914,0.0068914,0.0068914
159,19116.7,1.03123,5.15233,1.08578,0.50592,0.44488,0.40952,0.32248,1.15023,10.2756,1.068,0.0068716,0.0068716,0.0068716
160,116.966,0.99803,4.79274,1.06867,0.50661,0.44403,0.40933,0.32229,1.15033,10.2784,1.06826,0.0068518,0.0068518,0.0068518
